Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
keimoes1_bromfeldii.insularis_XV/2331_2334_p2,0.191004092,0.064122147,142.3313076,0.203607818,0.067159941,0.178400365,0.061279702,0.116535434,0.039844793
keimoes1_bromfeldii.insularis_XV/2331_2334_p3,0.271182274,0.080121188,248.7653592,0.282677126,0.082277172,0.259687423,0.078243059,0.192112267,0.060140598
keimoes1_bromfeldii.insularis_XV/2331_2334_p4,0.215723638,0.067493476,80.04360379,0.233108844,0.071000187,0.198338433,0.064172782,0.123089773,0.042316197
keimoes1_bromfeldii.insularis_XV/2331_2334_p5,0.165870094,0.075563448,611.9031708,0.171081754,0.077814614,0.160658434,0.073505257,0.127211623,0.054530767
keimoes1_bromfeldii.insularis_XV/2331_2334_p6,0.165870094,0.075563448,611.9031708,0.171081754,0.077814614,0.160658434,0.073505257,0.127211623,0.054530767
keimoes1_bromfeldii.insularis_XV/2331_2334_p7,0.165870094,0.075563448,611.9031708,0.171081754,0.077814614,0.160658434,0.073505257,0.127211623,0.054530767
keimoes1_bromfeldii.insularis_XV/2337_2340_a1,0.167950192,0.075894941,113.2805542,0.183917371,0.080871604,0.151983012,0.071162087,0.080401539,0.037440075
keimoes1_bromfeldii.insularis_XV/2337_2340_a2,0.120164853,0.042997141,38.44073685,0.135204278,0.04616379,0.105125428,0.039961523,0.058450133,0.019739427
keimoes1_bromfeldii.insularis_XV/2337_2340_a3,0.081097169,0.037312761,47.14633376,0.088280195,0.040089779,0.073914144,0.034628196,0.046164965,0.016146944
keimoes1_bromfeldii.insularis_XV/2337_2340_b1,0.214100429,0.045576686,117.5907176,0.231790767,0.047705896,0.19641009,0.043828748,0.133685889,0.030495055
keimoes1_bromfeldii.insularis_XV/2337_2340_b10,0.139214595,0.059139272,62.10078272,0.152536436,0.063549865,0.125892754,0.05488852,0.075861085,0.029864227
keimoes1_bromfeldii.insularis_XV/2337_2340_b11,0.150594136,0.037548736,1.346624398,0.159394487,0.039699282,0.141793785,0.03547154,0.095638368,0.020690038
keimoes1_bromfeldii.insularis_XV/2337_2340_b12,0.185805001,0.033726289,56.72393835,0.19399868,0.034819692,0.177611323,0.032981033,0.134363496,0.027234895
keimoes1_bromfeldii.insularis_XV/2337_2340_b13,0.109500839,0.029764084,1.74723309,0.114915949,0.029940939,0.10408573,0.029683676,0.078252215,0.025874446
keimoes1_bromfeldii.insularis_XV/2337_2340_b14,0.236452134,0.04938629,109.3549108,0.247259197,0.050064898,0.225645071,0.048898388,0.161858895,0.040782316
keimoes1_bromfeldii.insularis_XV/2337_2340_b15,0.165675676,0.060550763,32.01490908,0.178889778,0.066393211,0.152461573,0.055348235,0.107902461,0.035254452
keimoes1_bromfeldii.insularis_XV/2337_2340_b2,0.350960857,0.073995239,55.6508219,0.370627398,0.075952437,0.331294315,0.072445242,0.226949492,0.054702144
keimoes1_bromfeldii.insularis_XV/2337_2340_b3,0.176022107,0.070960756,24.05100135,0.189350557,0.074491026,0.162693656,0.067554276,0.102881183,0.041284887
keimoes1_bromfeldii.insularis_XV/2337_2340_b4,0.207200148,0.118920036,372.0496361,0.218501266,0.123612939,0.195899031,0.11439616,0.133035162,0.078218379
keimoes1_bromfeldii.insularis_XV/2337_2340_b5,0.183578061,0.082585941,121.3120345,0.194915727,0.08614114,0.172240395,0.079202267,0.110221655,0.051105053
keimoes1_bromfeldii.insularis_XV/2337_2340_b6,0.313165868,0.071697586,166.9572923,0.324856118,0.073669078,0.301475618,0.069946673,0.227253195,0.054551209
keimoes1_bromfeldii.insularis_XV/2337_2340_b7,0.249941002,0.05909781,69.31978353,0.256646981,0.059420233,0.243235024,0.059005717,0.192439444,0.054479267
keimoes1_bromfeldii.insularis_XV/2337_2340_b8,0.182255489,0.049011028,55.37570508,0.192439492,0.050278812,0.172071486,0.047949597,0.121539734,0.036142392
keimoes1_bromfeldii.insularis_XV/2337_2340_b9,0.260218152,0.053839888,1290.410471,0.275308113,0.053987968,0.24512819,0.053893085,0.179228213,0.046138812
keimoes1_bromfeldii.insularis_XV/2337_2340_c1,0.081755143,0.031253563,21.75353463,0.092184354,0.033573661,0.071325931,0.029067356,0.041818256,0.017549622
keimoes1_bromfeldii.insularis_XV/2337_2340_c2,0.096565049,0.030562035,19.1053342,0.107592327,0.032246716,0.085537772,0.029084814,0.051841869,0.018544649
keimoes1_bromfeldii.insularis_XV/2337_2340_c3,0.073414954,0.041114647,9.175387027,0.081877862,0.043626333,0.064952045,0.038774133,0.04140183,0.024597671
keimoes1_bromfeldii.insularis_XV/2337_2340_p1,0.214100429,0.045576686,117.5907176,0.231790767,0.047705896,0.19641009,0.043828748,0.133685889,0.030495055
keimoes1_bromfeldii.insularis_XV/2337_2340_p2,0.207200148,0.118920036,372.0496361,0.218501266,0.123612939,0.195899031,0.11439616,0.133035162,0.078218379
keimoes1_bromfeldii.insularis_XV/2337_2340_p3,0.207200148,0.118920036,372.0496361,0.218501266,0.123612939,0.195899031,0.11439616,0.133035162,0.078218379
keimoes1_bromfeldii.insularis_XV/2337_2340_p4,0.185805001,0.033726289,56.72393835,0.19399868,0.034819692,0.177611323,0.032981033,0.134363496,0.027234895
keimoes1_bromfeldii.insularis_XV/2343_2346_a1,0.13604096,0.06144927,79.02966742,0.145800554,0.064586861,0.126281366,0.058436757,0.083870091,0.03567269
keimoes1_bromfeldii.insularis_XV/2343_2346_a2,0.130203655,0.060809218,66.46352986,0.140382739,0.063816992,0.120024571,0.057982341,0.080549118,0.035469303
keimoes1_bromfeldii.insularis_XV/2343_2346_a3,0.141604669,0.064854634,60.93159486,0.150418047,0.067818746,0.13279129,0.062056834,0.089217702,0.042265081
keimoes1_bromfeldii.insularis_XV/2343_2346_b1,0.288528345,0.066600189,89.00541698,0.302184378,0.068701122,0.274872312,0.06472249,0.197772994,0.04779022
keimoes1_bromfeldii.insularis_XV/2343_2346_b10,0.266784457,0.063022423,154.6768707,0.28045616,0.064832805,0.253112753,0.061547555,0.180490869,0.047072649
keimoes1_bromfeldii.insularis_XV/2343_2346_b11,0.213207101,0.043574966,7.334971025,0.224183325,0.043906836,0.202230877,0.043374845,0.146681983,0.034099859
keimoes1_bromfeldii.insularis_XV/2343_2346_b12,0.146858391,0.037843131,6.435815067,0.161720935,0.039362994,0.131995847,0.036828396,0.08466765,0.030224586
keimoes1_bromfeldii.insularis_XV/2343_2346_b13,0.166774776,0.033819803,1.228269085,0.180740261,0.034681698,0.152809292,0.033144197,0.097370451,0.021029609
keimoes1_bromfeldii.insularis_XV/2343_2346_b2,0.19200101,0.03835446,35.25604686,0.203663492,0.040169102,0.180338528,0.036866047,0.119339175,0.026866767
keimoes1_bromfeldii.insularis_XV/2343_2346_b3,0.268030839,0.052562857,175.9763165,0.279026587,0.05377681,0.257035091,0.051762409,0.187164853,0.040824838
keimoes1_bromfeldii.insularis_XV/2343_2346_b4,0.258555024,0.063379761,38.63693626,0.268614308,0.064859096,0.248495739,0.062166897,0.184609804,0.048027674
keimoes1_bromfeldii.insularis_XV/2343_2346_b5,0.254200734,0.067201738,74.77324263,0.273945204,0.069178859,0.234456264,0.065700074,0.153364977,0.046094059
keimoes1_bromfeldii.insularis_XV/2343_2346_b6,0.228760585,0.042274326,5.292579995,0.240637015,0.043948119,0.216884156,0.040907739,0.150959644,0.030558015
keimoes1_bromfeldii.insularis_XV/2343_2346_b7,0.2059501,0.060866574,16.85720585,0.218557881,0.062379152,0.193342319,0.059691583,0.13209604,0.043591392
keimoes1_bromfeldii.insularis_XV/2343_2346_b8,0.277742628,0.075863686,677.4407911,0.295397697,0.079038017,0.260087558,0.073031021,0.16992214,0.050754549
keimoes1_bromfeldii.insularis_XV/2343_2346_b9,0.169002701,0.036706956,882.3129252,0.185982807,0.038541312,0.152022595,0.035113354,0.093134882,0.021365241
keimoes1_bromfeldii.insularis_XV/2343_2346_c1,0.072871683,0.031112843,19.20351474,0.082050616,0.032922828,0.06369275,0.029539655,0.041449761,0.017944248
keimoes1_bromfeldii.insularis_XV/2343_2346_c2,0.072871683,0.031112843,19.20351474,0.082050616,0.032922828,0.06369275,0.029539655,0.041449761,0.017944248
keimoes1_bromfeldii.insularis_XV/2343_2346_p1,0.268030839,0.052562857,175.9763165,0.279026587,0.05377681,0.257035091,0.051762409,0.187164853,0.040824838
keimoes1_bromfeldii.insularis_XV/2343_2346_p2,0.277742628,0.075863686,677.4407911,0.295397697,0.079038017,0.260087558,0.073031021,0.16992214,0.050754549
keimoes1_bromfeldii.insularis_XV/2343_2346_p3,0.277742628,0.075863686,677.4407911,0.295397697,0.079038017,0.260087558,0.073031021,0.16992214,0.050754549
keimoes1_bromfeldii.insularis_XV/2343_2346_p4,0.169002701,0.036706956,882.3129252,0.185982807,0.038541312,0.152022595,0.035113354,0.093134882,0.021365241
keimoes1_bromfeldii.insularis_XV/2343_2346_p5,0.169002701,0.036706956,882.3129252,0.185982807,0.038541312,0.152022595,0.035113354,0.093134882,0.021365241
keimoes1_bromfeldii.insularis_XV/2349_2352_a2,0.121024016,0.046719418,18.36197319,0.131512158,0.049238064,0.110535874,0.044367228,0.075297625,0.023316718
keimoes1_bromfeldii.insularis_XV/2349_2352_a3,0.206932964,0.061555912,22.48268274,0.22994987,0.064467394,0.183916057,0.058966458,0.106908022,0.032234256
keimoes1_bromfeldii.insularis_XV/2349_2352_b1,0.221624,0.071807483,865.5938976,0.229968998,0.073296023,0.213279002,0.070494027,0.158479125,0.053453509
keimoes1_bromfeldii.insularis_XV/2349_2352_b10,0.222998529,0.053896349,14.61186628,0.237295995,0.055387015,0.208701063,0.052598855,0.138728624,0.038791398
keimoes1_bromfeldii.insularis_XV/2349_2352_b11,0.254066271,0.045019099,28.91353652,0.267974924,0.045887853,0.240157617,0.04447314,0.169279034,0.035472099
